Origine;Couleur;Libelle;Alcool;pH;AcTot;Tartrique;Malique;Citrique;Acetique;Lactique
Bordeaux;Blanc;1;12;2,84;89;21,1;21;4,3;16,9;9,3
Bordeaux;Blanc;2;11,5;3,1;97;26,4;34,2;3,9;9,9;16
Bordeaux;Blanc;3;14,6;2,96;99;20,7;21,8;8,1;19,7;11,2
Bordeaux;Blanc;4;10,5;3,1;72;29,7;4,2;3,6;11,9;14,4
Bordeaux;Blanc;5;14;3,29;76;22,3;9,3;4,7;20,1;21,6
Bordeaux;Blanc;6;13,2;2,94;83;24,6;9,4;4,1;19,7;16,8
Bordeaux;Blanc;7;11,2;2,91;95;39,4;14,5;4,2;19,4;10,5
Bordeaux;Blanc;8;15,4;3,43;86;14,1;28,8;8,5;15;12,6
Bordeaux;Blanc;9;13,4;3,35;76;18,9;23;6,4;14,4;10,5
Bourgogne;Blanc;10;11,4;2,9;103;50;18;2,8;14,4;8,5
Bourgogne;Blanc;11;10,5;2,95;118;31,6;38,8;4,2;13,1;15,7
Bourgogne;Blanc;12;10,3;2,9;106;37,5;27,6;3,2;14,7;11,5
Bourgogne;Blanc;13;13;2,89;97;42,1;19;3,6;11,2;15,7
Bourgogne;Blanc;14;13,4;2,83;107;50,5;22,1;5;11,9;9,4
Bourgogne;Blanc;15;12,7;3,11;101;33,2;17,5;5,3;9,4;36,7
Bourgogne;Blanc;16;10,8;2,83;121;42,5;44,8;4,6;9,4;8,7
Bourgogne;Blanc;17;12;3,25;76;44,2;1;3;17,5;17,6
Bourgogne;Blanc;18;13,8;3,15;87;29,2;24,4;6,4;10,6;8,6
Bordeaux;Rouge;19;11,7;3,49;74;22,5;3,6;1,4;21,8;24,3
Bordeaux;Rouge;20;10,8;3,5;76;24,8;1,8;1,3;21,2;27
Bordeaux;Rouge;21;10,1;3,66;72;25,7;5;0,8;20;29,7
Bordeaux;Rouge;22;11,7;3,22;77;30,1;1,4;1,1;17,5;20,2
Bordeaux;Rouge;23;10,2;3,45;74;23,5;2;1;20,6;23,5
Bordeaux;Rouge;24;11,5;3,28;86;26,4;3,4;1,1;21,2;30,4
Bordeaux;Rouge;25;11,2;3,35;73;30,8;1,8;3,6;10,3;22,2
Bordeaux;Rouge;26;12,2;3,43;77;26,1;1,8;1,4;14,7;17,9
Bordeaux;Rouge;27;11,2;3,41;75;27,2;3;1,5;15,9;23,1
Bourgogne;Rouge;28;12,7;3,36;78;36,2;2;0,8;17,2;20,1
Bourgogne;Rouge;29;13,1;3,48;87;30;2;1;22,1;37,4
Bourgogne;Rouge;30;13,4;3,5;75;27,8;0;1,3;14,7;33,1
Bourgogne;Rouge;31;13,2;3,59;76;30;3,6;2,2;13,4;40,9
Bourgogne;Rouge;32;13,4;3,34;79;34,6;0;1,6;16,2;23,2
Bourgogne;Rouge;33;13,8;3,46;76;27,7;1,2;3;16,2;30,4
Bourgogne;Rouge;34;13,6;3,17;97;39,7;18,4;5,4;12,2;14,3
Bourgogne;Rouge;35;14;3,42;76;32,6;0,4;2,1;14,7;20,4
Bourgogne;Rouge;36;13,1;3,35;81;36;1,6;1,9;15;23,1
